idalerta_evidencia,idalerta,idleitura_sensor,idprevisao,tipo_variavel,valor_usado,unidade,limiar_aplicado,contribuicao_para_alerta
1406,469,,,precipitacao_acumulada_6h,23.87,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
1407,469,,666,precipitacao_prevista_1h,24.13,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
1408,470,5995,,nivel_agua_percentagem,49.62,%,70/85/90%,Leitura máxima de nível de água na área.
1409,470,,,precipitacao_acumulada_6h,22.48,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
1410,470,,667,precipitacao_prevista_1h,15.37,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
1411,471,6019,,nivel_agua_percentagem,64.17,%,70/85/90%,Leitura máxima de nível de água na área.
1412,471,,,precipitacao_acumulada_6h,27.2,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
1413,471,,669,precipitacao_prevista_1h,11.23,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
1414,472,6025,,nivel_agua_percentagem,84.16,%,70/85/90%,Leitura máxima de nível de água na área.
1415,472,,,precipitacao_acumulada_6h,60.57,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
1416,472,,670,precipitacao_prevista_1h,48.85,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
1417,473,6046,,nivel_agua_percentagem,39.02,%,70/85/90%,Leitura máxima de nível de água na área.
1418,473,,,precipitacao_acumulada_6h,14.44,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
1419,473,,672,precipitacao_prevista_1h,13.48,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
1420,474,6049,,nivel_agua_percentagem,100,%,70/85/90%,Leitura máxima de nível de água na área.
1421,474,,,precipitacao_acumulada_6h,84.23,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
1422,474,,673,precipitacao_prevista_1h,68.96,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
1423,475,6058,,nivel_agua_percentagem,100,%,70/85/90%,Leitura máxima de nível de água na área.
1424,475,,,precipitacao_acumulada_6h,91.89,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
1425,475,,674,precipitacao_prevista_1h,41.35,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
1426,476,6079,,nivel_agua_percentagem,45.46,%,70/85/90%,Leitura máxima de nível de água na área.
1427,476,,,precipitacao_acumulada_6h,17.99,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
1428,476,,676,precipitacao_prevista_1h,16.23,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
1429,477,6085,,nivel_agua_percentagem,100,%,70/85/90%,Leitura máxima de nível de água na área.
1430,477,,,precipitacao_acumulada_6h,80.34,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
1431,477,,677,precipitacao_prevista_1h,0,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
1432,478,6094,,nivel_agua_percentagem,100,%,70/85/90%,Leitura máxima de nível de água na área.
1433,478,,,precipitacao_acumulada_6h,116.22,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
1434,478,,678,precipitacao_prevista_1h,36.52,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
1435,479,6121,,nivel_agua_percentagem,100,%,70/85/90%,Leitura máxima de nível de água na área.
1436,479,,,precipitacao_acumulada_6h,81.55,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
1437,479,,681,precipitacao_prevista_1h,6.55,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
1438,480,6130,,nivel_agua_percentagem,100,%,70/85/90%,Leitura máxima de nível de água na área.
1439,480,,,precipitacao_acumulada_6h,116.98,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
1440,480,,682,precipitacao_prevista_1h,6.05,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
1441,481,6154,,nivel_agua_percentagem,43.37,%,70/85/90%,Leitura máxima de nível de água na área.
1442,481,,,precipitacao_acumulada_6h,18.89,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
1443,481,,684,precipitacao_prevista_1h,13.69,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
1444,482,6157,,nivel_agua_percentagem,100,%,70/85/90%,Leitura máxima de nível de água na área.
1445,482,,,precipitacao_acumulada_6h,76.81,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
1446,482,,685,precipitacao_prevista_1h,15.8,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
1447,483,6166,,nivel_agua_percentagem,100,%,70/85/90%,Leitura máxima de nível de água na área.
1448,483,,,precipitacao_acumulada_6h,115.59,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
1449,483,,686,precipitacao_prevista_1h,8.5,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
1450,484,6187,,nivel_agua_percentagem,46.38,%,70/85/90%,Leitura máxima de nível de água na área.
1451,484,,,precipitacao_acumulada_6h,19.94,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
1452,484,,688,precipitacao_prevista_1h,11.87,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
1453,485,6193,,nivel_agua_percentagem,100,%,70/85/90%,Leitura máxima de nível de água na área.
1454,485,,,precipitacao_acumulada_6h,76.33,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
1455,485,,689,precipitacao_prevista_1h,3.2,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
1456,486,6202,,nivel_agua_percentagem,100,%,70/85/90%,Leitura máxima de nível de água na área.
1457,486,,,precipitacao_acumulada_6h,113.12,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
1458,486,,690,precipitacao_prevista_1h,26.86,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
1459,487,6223,,nivel_agua_percentagem,48.31,%,70/85/90%,Leitura máxima de nível de água na área.
1460,487,,,precipitacao_acumulada_6h,19.93,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
1461,487,,692,precipitacao_prevista_1h,17.92,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
1462,488,6232,,nivel_agua_percentagem,100,%,70/85/90%,Leitura máxima de nível de água na área.
1463,488,,,precipitacao_acumulada_6h,76.74,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
1464,488,,693,precipitacao_prevista_1h,0,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
1465,489,6238,,nivel_agua_percentagem,100,%,70/85/90%,Leitura máxima de nível de água na área.
1466,489,,,precipitacao_acumulada_6h,77.22,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
1467,489,,694,precipitacao_prevista_1h,8.63,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
1468,490,6250,,nivel_agua_percentagem,47.42,%,70/85/90%,Leitura máxima de nível de água na área.
1469,490,,,precipitacao_acumulada_6h,21.21,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
1470,490,,695,precipitacao_prevista_1h,17.68,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
1471,491,6280,,nivel_agua_percentagem,80.21,%,70/85/90%,Leitura máxima de nível de água na área.
1472,491,,,precipitacao_acumulada_6h,44.62,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
1473,491,,698,precipitacao_prevista_1h,0,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
1474,492,6343,,nivel_agua_percentagem,75.24,%,70/85/90%,Leitura máxima de nível de água na área.
1475,492,,,precipitacao_acumulada_6h,42.03,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
1476,492,,705,precipitacao_prevista_1h,26.39,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
1477,493,6373,,nivel_agua_percentagem,100,%,70/85/90%,Leitura máxima de nível de água na área.
1478,493,,,precipitacao_acumulada_6h,75.66,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
1479,493,,709,precipitacao_prevista_1h,43.04,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
1480,494,6388,,nivel_agua_percentagem,52.13,%,70/85/90%,Leitura máxima de nível de água na área.
1481,494,,,precipitacao_acumulada_6h,18.27,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
1482,494,,710,precipitacao_prevista_1h,11.18,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
1483,495,6394,,nivel_agua_percentagem,71.13,%,70/85/90%,Leitura máxima de nível de água na área.
1484,495,,,precipitacao_acumulada_6h,51.26,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
1485,495,,711,precipitacao_prevista_1h,24.82,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
1486,496,6400,,nivel_agua_percentagem,39.4,%,70/85/90%,Leitura máxima de nível de água na área.
1487,496,,,precipitacao_acumulada_6h,17.21,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
1488,496,,712,precipitacao_prevista_1h,16.29,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
1489,497,6409,,nivel_agua_percentagem,100,%,70/85/90%,Leitura máxima de nível de água na área.
1490,497,,,precipitacao_acumulada_6h,78.76,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
1491,497,,713,precipitacao_prevista_1h,8.14,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
1492,498,6421,,nivel_agua_percentagem,51.85,%,70/85/90%,Leitura máxima de nível de água na área.
1493,498,,,precipitacao_acumulada_6h,19.39,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
1494,498,,714,precipitacao_prevista_1h,29.05,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
1495,499,6433,,nivel_agua_percentagem,71.66,%,70/85/90%,Leitura máxima de nível de água na área.
1496,499,,,precipitacao_acumulada_6h,47.55,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
1497,499,,715,precipitacao_prevista_1h,17.93,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
1498,500,6445,,nivel_agua_percentagem,99.65,%,70/85/90%,Leitura máxima de nível de água na área.
1499,500,,,precipitacao_acumulada_6h,76.64,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
1500,500,,717,precipitacao_prevista_1h,0,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
1501,501,6463,,nivel_agua_percentagem,70.38,%,70/85/90%,Leitura máxima de nível de água na área.
1502,501,,,precipitacao_acumulada_6h,48.41,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
1503,501,,719,precipitacao_prevista_1h,12.73,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
1504,502,6481,,nivel_agua_percentagem,100,%,70/85/90%,Leitura máxima de nível de água na área.
1505,502,,,precipitacao_acumulada_6h,78.21,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
1506,502,,721,precipitacao_prevista_1h,10.07,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
1507,503,6505,,nivel_agua_percentagem,77.75,%,70/85/90%,Leitura máxima de nível de água na área.
1508,503,,,precipitacao_acumulada_6h,46.71,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
1509,503,,723,precipitacao_prevista_1h,0,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
1510,504,6517,,nivel_agua_percentagem,100,%,70/85/90%,Leitura máxima de nível de água na área.
1511,504,,,precipitacao_acumulada_6h,78.96,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
1512,504,,725,precipitacao_prevista_1h,5.16,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
1513,505,6529,,nivel_agua_percentagem,51.89,%,70/85/90%,Leitura máxima de nível de água na área.
1514,505,,,precipitacao_acumulada_6h,22.8,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
1515,505,,726,precipitacao_prevista_1h,12.65,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
1516,506,6541,,nivel_agua_percentagem,72.21,%,70/85/90%,Leitura máxima de nível de água na área.
1517,506,,,precipitacao_acumulada_6h,49.52,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
1518,506,,727,precipitacao_prevista_1h,1.59,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
1519,507,6559,,nivel_agua_percentagem,92.21,%,70/85/90%,Leitura máxima de nível de água na área.
1520,507,,,precipitacao_acumulada_6h,60.81,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
1521,507,,729,precipitacao_prevista_1h,35.43,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
1522,508,6562,,nivel_agua_percentagem,48.6,%,70/85/90%,Leitura máxima de nível de água na área.
1523,508,,,precipitacao_acumulada_6h,22,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
1524,508,,730,precipitacao_prevista_1h,12.57,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
1525,509,6571,,nivel_agua_percentagem,72.94,%,70/85/90%,Leitura máxima de nível de água na área.
1526,509,,,precipitacao_acumulada_6h,49.66,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
1527,509,,731,precipitacao_prevista_1h,8.39,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
1528,510,6607,,nivel_agua_percentagem,48.27,%,70/85/90%,Leitura máxima de nível de água na área.
1529,510,,,precipitacao_acumulada_6h,21.14,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
1530,510,,735,precipitacao_prevista_1h,17.88,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
1531,511,6622,,nivel_agua_percentagem,44.24,%,70/85/90%,Leitura máxima de nível de água na área.
1532,511,,,precipitacao_acumulada_6h,23.25,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
1533,511,,736,precipitacao_prevista_1h,11.16,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
1534,512,6634,,nivel_agua_percentagem,52.96,%,70/85/90%,Leitura máxima de nível de água na área.
1535,512,,,precipitacao_acumulada_6h,18.99,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
1536,512,,738,precipitacao_prevista_1h,19.84,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
1537,513,6643,,nivel_agua_percentagem,60.71,%,70/85/90%,Leitura máxima de nível de água na área.
1538,513,,,precipitacao_acumulada_6h,34.23,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
1539,513,,739,precipitacao_prevista_1h,4.83,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
1540,514,6658,,nivel_agua_percentagem,50.56,%,70/85/90%,Leitura máxima de nível de água na área.
1541,514,,,precipitacao_acumulada_6h,23.4,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
1542,514,,740,precipitacao_prevista_1h,12.07,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
1543,515,6661,,nivel_agua_percentagem,65.8,%,70/85/90%,Leitura máxima de nível de água na área.
1544,515,,,precipitacao_acumulada_6h,33.44,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
1545,515,,741,precipitacao_prevista_1h,16.96,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
1546,516,6673,,nivel_agua_percentagem,53.25,%,70/85/90%,Leitura máxima de nível de água na área.
1547,516,,,precipitacao_acumulada_6h,19.44,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
1548,516,,742,precipitacao_prevista_1h,21.39,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
1549,517,6679,,nivel_agua_percentagem,60.99,%,70/85/90%,Leitura máxima de nível de água na área.
1550,517,,,precipitacao_acumulada_6h,33.91,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
1551,517,,743,precipitacao_prevista_1h,11.8,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
1552,518,6700,,nivel_agua_percentagem,65.27,%,70/85/90%,Leitura máxima de nível de água na área.
1553,518,,,precipitacao_acumulada_6h,33.25,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
1554,518,,745,precipitacao_prevista_1h,25.84,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
1555,519,6712,,nivel_agua_percentagem,96.3,%,70/85/90%,Leitura máxima de nível de água na área.
1556,519,,,precipitacao_acumulada_6h,82.08,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
1557,519,,746,precipitacao_prevista_1h,70,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
1558,520,6721,,nivel_agua_percentagem,61.86,%,70/85/90%,Leitura máxima de nível de água na área.
1559,520,,,precipitacao_acumulada_6h,36.77,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
1560,520,,747,precipitacao_prevista_1h,14.33,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
1561,521,6730,,nivel_agua_percentagem,43.54,%,70/85/90%,Leitura máxima de nível de água na área.
1562,521,,,precipitacao_acumulada_6h,23.24,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
1563,521,,748,precipitacao_prevista_1h,22.38,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
1564,522,6739,,nivel_agua_percentagem,66.65,%,70/85/90%,Leitura máxima de nível de água na área.
1565,522,,,precipitacao_acumulada_6h,30.46,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
1566,522,,749,precipitacao_prevista_1h,0,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
1567,523,6742,,nivel_agua_percentagem,100,%,70/85/90%,Leitura máxima de nível de água na área.
1568,523,,,precipitacao_acumulada_6h,84.71,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
1569,523,,750,precipitacao_prevista_1h,0,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
1570,524,6754,,nivel_agua_percentagem,61.54,%,70/85/90%,Leitura máxima de nível de água na área.
1571,524,,,precipitacao_acumulada_6h,35.49,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
1572,524,,751,precipitacao_prevista_1h,2.4,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
1573,525,6766,,nivel_agua_percentagem,46.99,%,70/85/90%,Leitura máxima de nível de água na área.
1574,525,,,precipitacao_acumulada_6h,24.03,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
1575,525,,752,precipitacao_prevista_1h,16.52,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
1576,526,6778,,nivel_agua_percentagem,100,%,70/85/90%,Leitura máxima de nível de água na área.
1577,526,,,precipitacao_acumulada_6h,88.24,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
1578,526,,754,precipitacao_prevista_1h,18.97,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
1579,527,6793,,nivel_agua_percentagem,59.89,%,70/85/90%,Leitura máxima de nível de água na área.
1580,527,,,precipitacao_acumulada_6h,36.54,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
1581,527,,755,precipitacao_prevista_1h,0,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
1582,528,6808,,nivel_agua_percentagem,65.75,%,70/85/90%,Leitura máxima de nível de água na área.
1583,528,,,precipitacao_acumulada_6h,30.22,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
1584,528,,757,precipitacao_prevista_1h,1.55,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
1585,529,6814,,nivel_agua_percentagem,100,%,70/85/90%,Leitura máxima de nível de água na área.
1586,529,,,precipitacao_acumulada_6h,90.85,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
1587,529,,758,precipitacao_prevista_1h,4.77,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
1588,530,6823,,nivel_agua_percentagem,64.33,%,70/85/90%,Leitura máxima de nível de água na área.
1589,530,,,precipitacao_acumulada_6h,40.79,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
1590,530,,759,precipitacao_prevista_1h,12.75,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
1591,531,6838,,nivel_agua_percentagem,49.72,%,70/85/90%,Leitura máxima de nível de água na área.
1592,531,,,precipitacao_acumulada_6h,23.02,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
1593,531,,760,precipitacao_prevista_1h,10.64,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
1594,532,6850,,nivel_agua_percentagem,100,%,70/85/90%,Leitura máxima de nível de água na área.
1595,532,,,precipitacao_acumulada_6h,92.56,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
1596,532,,762,precipitacao_prevista_1h,2.59,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
1597,533,6886,,nivel_agua_percentagem,100,%,70/85/90%,Leitura máxima de nível de água na área.
1598,533,,,precipitacao_acumulada_6h,91.89,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
1599,533,,766,precipitacao_prevista_1h,17.22,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
1600,534,6898,,nivel_agua_percentagem,94.02,%,70/85/90%,Leitura máxima de nível de água na área.
1601,534,,,precipitacao_acumulada_6h,76.76,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
1602,534,,767,precipitacao_prevista_1h,68.29,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
1603,535,6907,,nivel_agua_percentagem,42.84,%,70/85/90%,Leitura máxima de nível de água na área.
1604,535,,,precipitacao_acumulada_6h,19.97,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
1605,535,,768,precipitacao_prevista_1h,13.6,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
1606,536,6916,,nivel_agua_percentagem,85.7,%,70/85/90%,Leitura máxima de nível de água na área.
1607,536,,,precipitacao_acumulada_6h,58.97,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
1608,536,,769,precipitacao_prevista_1h,46.45,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
1609,537,6922,,nivel_agua_percentagem,74.61,%,70/85/90%,Leitura máxima de nível de água na área.
1610,537,,,precipitacao_acumulada_6h,44.71,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
1611,537,,770,precipitacao_prevista_1h,33.74,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
1612,538,6934,,nivel_agua_percentagem,100,%,70/85/90%,Leitura máxima de nível de água na área.
1613,538,,,precipitacao_acumulada_6h,74.98,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
1614,538,,771,precipitacao_prevista_1h,12.35,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
1615,539,6955,,nivel_agua_percentagem,89.15,%,70/85/90%,Leitura máxima de nível de água na área.
1616,539,,,precipitacao_acumulada_6h,58.34,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
1617,539,,773,precipitacao_prevista_1h,18.15,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
1618,540,6964,,nivel_agua_percentagem,71.94,%,70/85/90%,Leitura máxima de nível de água na área.
1619,540,,,precipitacao_acumulada_6h,42.56,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
1620,540,,774,precipitacao_prevista_1h,0,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
1621,541,6973,,nivel_agua_percentagem,95.66,%,70/85/90%,Leitura máxima de nível de água na área.
1622,541,,,precipitacao_acumulada_6h,74.68,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
1623,541,,775,precipitacao_prevista_1h,0,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
1624,542,6988,,nivel_agua_percentagem,87.82,%,70/85/90%,Leitura máxima de nível de água na área.
1625,542,,,precipitacao_acumulada_6h,58.99,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
1626,542,,777,precipitacao_prevista_1h,1.88,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
1627,543,6997,,nivel_agua_percentagem,69.78,%,70/85/90%,Leitura máxima de nível de água na área.
1628,543,,,precipitacao_acumulada_6h,40.16,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
1629,543,,778,precipitacao_prevista_1h,0,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
1630,544,7006,,nivel_agua_percentagem,91.59,%,70/85/90%,Leitura máxima de nível de água na área.
1631,544,,,precipitacao_acumulada_6h,70.98,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
1632,544,,779,precipitacao_prevista_1h,6.5,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
1633,545,7024,,nivel_agua_percentagem,87.75,%,70/85/90%,Leitura máxima de nível de água na área.
1634,545,,,precipitacao_acumulada_6h,58.4,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
1635,545,,781,precipitacao_prevista_1h,21.07,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
1636,546,7033,,nivel_agua_percentagem,69.76,%,70/85/90%,Leitura máxima de nível de água na área.
1637,546,,,precipitacao_acumulada_6h,37.49,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
1638,546,,782,precipitacao_prevista_1h,25.52,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
1639,547,7039,,nivel_agua_percentagem,89.98,%,70/85/90%,Leitura máxima de nível de água na área.
1640,547,,,precipitacao_acumulada_6h,69.78,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
1641,547,,783,precipitacao_prevista_1h,16.82,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
1642,548,7060,,nivel_agua_percentagem,86.79,%,70/85/90%,Leitura máxima de nível de água na área.
1643,548,,,precipitacao_acumulada_6h,57.93,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
1644,548,,785,precipitacao_prevista_1h,2.28,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
1645,549,7072,,nivel_agua_percentagem,70.76,%,70/85/90%,Leitura máxima de nível de água na área.
1646,549,,,precipitacao_acumulada_6h,40.37,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
1647,549,,786,precipitacao_prevista_1h,4.56,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
1648,550,7075,,nivel_agua_percentagem,87.05,%,70/85/90%,Leitura máxima de nível de água na área.
1649,550,,,precipitacao_acumulada_6h,70.75,mm,30/41/60 mm,Precipitação acumulada calculada sobre as últimas 6 horas.
1650,550,,787,precipitacao_prevista_1h,7.55,mm,10/21/40 mm,Previsão meteorológica simulada para a próxima hora.
