idalerta,idnivel_alerta,idarea_risco,idinfraestrutura_urbana,data_alerta,descricao,score_risco,estado
300,4,1,1,2026-05-12 13:00:00,Alerta Vermelho na área Zona Ribeirinha. Nível máximo de água: 100.00%. Precipitação acumulada 6h: 79.20 mm. Precipitação prevista 1h: 20.28 mm.,73.83,ativo
301,3,3,9,2026-05-12 13:00:00,Alerta Laranja na área Centro Urbano. Nível máximo de água: 73.21%. Precipitação acumulada 6h: 46.49 mm. Precipitação prevista 1h: 27.36 mm.,53.73,ativo
302,4,1,1,2026-05-12 14:00:00,Alerta Vermelho na área Zona Ribeirinha. Nível máximo de água: 100.00%. Precipitação acumulada 6h: 78.22 mm. Precipitação prevista 1h: 20.79 mm.,73.66,ativo
303,3,3,7,2026-05-12 14:00:00,Alerta Laranja na área Centro Urbano. Nível máximo de água: 63.82%. Precipitação acumulada 6h: 45.36 mm. Precipitação prevista 1h: 0.00 mm.,42.33,ativo
304,2,4,11,2026-05-12 14:00:00,Alerta Amarelo na área Zona Industrial. Nível máximo de água: 36.21%. Precipitação acumulada 6h: 15.68 mm. Precipitação prevista 1h: 11.27 mm.,23.82,registado
305,4,1,1,2026-05-12 15:00:00,Alerta Vermelho na área Zona Ribeirinha. Nível máximo de água: 100.00%. Precipitação acumulada 6h: 82.08 mm. Precipitação prevista 1h: 8.30 mm.,71.08,ativo
306,2,2,5,2026-05-12 15:00:00,Alerta Amarelo na área Passagem Inferior. Nível máximo de água: 53.17%. Precipitação acumulada 6h: 24.10 mm. Precipitação prevista 1h: 11.73 mm.,34.09,registado
307,3,3,8,2026-05-12 15:00:00,Alerta Laranja na área Centro Urbano. Nível máximo de água: 64.29%. Precipitação acumulada 6h: 43.50 mm. Precipitação prevista 1h: 0.00 mm.,41.98,ativo
308,4,1,3,2026-05-12 16:00:00,Alerta Vermelho na área Zona Ribeirinha. Nível máximo de água: 100.00%. Precipitação acumulada 6h: 79.22 mm. Precipitação prevista 1h: 15.85 mm.,72.73,ativo
309,2,2,6,2026-05-12 16:00:00,Alerta Amarelo na área Passagem Inferior. Nível máximo de água: 55.12%. Precipitação acumulada 6h: 26.47 mm. Precipitação prevista 1h: 15.60 mm.,36.64,registado
310,3,3,9,2026-05-12 16:00:00,Alerta Laranja na área Centro Urbano. Nível máximo de água: 68.02%. Precipitação acumulada 6h: 42.69 mm. Precipitação prevista 1h: 8.64 mm.,45.58,ativo
311,3,1,1,2026-05-12 17:00:00,Alerta Laranja na área Zona Ribeirinha. Nível máximo de água: 80.50%. Precipitação acumulada 6h: 32.76 mm. Precipitação prevista 1h: 0.93 mm.,46.29,ativo
312,2,2,4,2026-05-12 17:00:00,Alerta Amarelo na área Passagem Inferior. Nível máximo de água: 57.05%. Precipitação acumulada 6h: 24.84 mm. Precipitação prevista 1h: 14.08 mm.,36.64,registado
313,3,3,8,2026-05-12 17:00:00,Alerta Laranja na área Centro Urbano. Nível máximo de água: 69.44%. Precipitação acumulada 6h: 45.19 mm. Precipitação prevista 1h: 0.00 mm.,44.81,ativo
314,2,4,11,2026-05-12 17:00:00,Alerta Amarelo na área Zona Industrial. Nível máximo de água: 43.45%. Precipitação acumulada 6h: 21.01 mm. Precipitação prevista 1h: 13.31 mm.,29.18,registado
315,2,1,1,2026-05-12 18:00:00,Alerta Amarelo na área Zona Ribeirinha. Nível máximo de água: 68.56%. Precipitação acumulada 6h: 29.98 mm. Precipitação prevista 1h: 14.43 mm.,43.45,registado
316,2,2,5,2026-05-12 18:00:00,Alerta Amarelo na área Passagem Inferior. Nível máximo de água: 55.76%. Precipitação acumulada 6h: 26.41 mm. Precipitação prevista 1h: 11.77 mm.,35.96,registado
317,3,3,9,2026-05-12 18:00:00,Alerta Laranja na área Centro Urbano. Nível máximo de água: 68.98%. Precipitação acumulada 6h: 44.54 mm. Precipitação prevista 1h: 9.00 mm.,46.65,ativo
318,2,1,2,2026-05-12 19:00:00,Alerta Amarelo na área Zona Ribeirinha. Nível máximo de água: 59.22%. Precipitação acumulada 6h: 25.17 mm. Precipitação prevista 1h: 19.74 mm.,39.14,registado
319,3,2,6,2026-05-12 19:00:00,Alerta Laranja na área Passagem Inferior. Nível máximo de água: 66.04%. Precipitação acumulada 6h: 37.02 mm. Precipitação prevista 1h: 16.48 mm.,44.94,ativo
320,3,3,9,2026-05-12 19:00:00,Alerta Laranja na área Centro Urbano. Nível máximo de água: 55.91%. Precipitação acumulada 6h: 29.16 mm. Precipitação prevista 1h: 22.52 mm.,39.54,ativo
321,2,1,2,2026-05-12 20:00:00,Alerta Amarelo na área Zona Ribeirinha. Nível máximo de água: 57.02%. Precipitação acumulada 6h: 22.36 mm. Precipitação prevista 1h: 10.03 mm.,34.87,registado
322,2,2,6,2026-05-12 20:00:00,Alerta Amarelo na área Passagem Inferior. Nível máximo de água: 67.16%. Precipitação acumulada 6h: 36.07 mm. Precipitação prevista 1h: 4.80 mm.,42.24,registado
323,2,3,9,2026-05-12 20:00:00,Alerta Amarelo na área Centro Urbano. Nível máximo de água: 55.71%. Precipitação acumulada 6h: 30.87 mm. Precipitação prevista 1h: 9.01 mm.,36.58,registado
324,2,4,10,2026-05-12 20:00:00,Alerta Amarelo na área Zona Industrial. Nível máximo de água: 40.66%. Precipitação acumulada 6h: 19.76 mm. Precipitação prevista 1h: 12.70 mm.,27.4,registado
325,2,1,2,2026-05-12 21:00:00,Alerta Amarelo na área Zona Ribeirinha. Nível máximo de água: 57.54%. Precipitação acumulada 6h: 25.27 mm. Precipitação prevista 1h: 12.77 mm.,36.67,registado
326,3,2,4,2026-05-12 21:00:00,Alerta Laranja na área Passagem Inferior. Nível máximo de água: 65.76%. Precipitação acumulada 6h: 34.15 mm. Precipitação prevista 1h: 13.96 mm.,43.33,ativo
327,3,3,7,2026-05-12 21:00:00,Alerta Laranja na área Centro Urbano. Nível máximo de água: 57.00%. Precipitação acumulada 6h: 33.74 mm. Precipitação prevista 1h: 16.97 mm.,40.01,ativo
328,2,4,12,2026-05-12 21:00:00,Alerta Amarelo na área Zona Industrial. Nível máximo de água: 40.84%. Precipitação acumulada 6h: 19.71 mm. Precipitação prevista 1h: 15.22 mm.,28.1,registado
329,2,2,6,2026-05-12 22:00:00,Alerta Amarelo na área Passagem Inferior. Nível máximo de água: 62.32%. Precipitação acumulada 6h: 32.88 mm. Precipitação prevista 1h: 0.00 mm.,37.91,registado
330,2,3,8,2026-05-12 22:00:00,Alerta Amarelo na área Centro Urbano. Nível máximo de água: 61.42%. Precipitação acumulada 6h: 32.26 mm. Precipitação prevista 1h: 2.67 mm.,37.98,registado
331,3,4,11,2026-05-12 22:00:00,Alerta Laranja na área Zona Industrial. Nível máximo de água: 45.20%. Precipitação acumulada 6h: 20.75 mm. Precipitação prevista 1h: 22.30 mm.,32.14,ativo
332,2,1,2,2026-05-12 23:00:00,Alerta Amarelo na área Zona Ribeirinha. Nível máximo de água: 56.09%. Precipitação acumulada 6h: 23.75 mm. Precipitação prevista 1h: 11.21 mm.,35.17,registado
333,3,2,5,2026-05-12 23:00:00,Alerta Laranja na área Passagem Inferior. Nível máximo de água: 60.93%. Precipitação acumulada 6h: 33.26 mm. Precipitação prevista 1h: 14.72 mm.,41.08,ativo
334,2,3,8,2026-05-12 23:00:00,Alerta Amarelo na área Centro Urbano. Nível máximo de água: 60.89%. Precipitação acumulada 6h: 30.83 mm. Precipitação prevista 1h: 5.24 mm.,37.96,registado
335,4,4,10,2026-05-12 23:00:00,Alerta Vermelho na área Zona Industrial. Nível máximo de água: 74.97%. Precipitação acumulada 6h: 60.38 mm. Precipitação prevista 1h: 50.65 mm.,64.51,ativo
336,2,1,1,2026-05-13 00:00:00,Alerta Amarelo na área Zona Ribeirinha. Nível máximo de água: 53.18%. Precipitação acumulada 6h: 21.51 mm. Precipitação prevista 1h: 17.99 mm.,34.88,registado
337,3,2,5,2026-05-13 00:00:00,Alerta Laranja na área Passagem Inferior. Nível máximo de água: 59.68%. Precipitação acumulada 6h: 33.01 mm. Precipitação prevista 1h: 25.32 mm.,43.09,ativo
338,3,4,12,2026-05-13 00:00:00,Alerta Laranja na área Zona Industrial. Nível máximo de água: 75.02%. Precipitação acumulada 6h: 59.73 mm. Precipitação prevista 1h: 12.81 mm.,54.88,ativo
339,3,1,1,2026-05-13 01:00:00,Alerta Laranja na área Zona Ribeirinha. Nível máximo de água: 64.25%. Precipitação acumulada 6h: 23.94 mm. Precipitação prevista 1h: 22.77 mm.,41.79,ativo
340,3,3,7,2026-05-13 01:00:00,Alerta Laranja na área Centro Urbano. Nível máximo de água: 64.53%. Precipitação acumulada 6h: 41.34 mm. Precipitação prevista 1h: 38.65 mm.,51.1,ativo
341,4,4,11,2026-05-13 01:00:00,Alerta Vermelho na área Zona Industrial. Nível máximo de água: 80.86%. Precipitação acumulada 6h: 60.84 mm. Precipitação prevista 1h: 0.00 mm.,54.64,ativo
342,1,2,5,2026-05-13 02:00:00,Alerta Verde na área Passagem Inferior. Nível máximo de água: 48.61%. Precipitação acumulada 6h: 22.05 mm. Precipitação prevista 1h: 8.95 mm.,30.73,registado
343,2,3,7,2026-05-13 02:00:00,Alerta Amarelo na área Centro Urbano. Nível máximo de água: 63.22%. Precipitação acumulada 6h: 40.04 mm. Precipitação prevista 1h: 7.65 mm.,42.37,registado
344,4,4,10,2026-05-13 02:00:00,Alerta Vermelho na área Zona Industrial. Nível máximo de água: 72.31%. Precipitação acumulada 6h: 62.19 mm. Precipitação prevista 1h: 12.34 mm.,54.28,ativo
345,3,3,8,2026-05-13 03:00:00,Alerta Laranja na área Centro Urbano. Nível máximo de água: 77.06%. Precipitação acumulada 6h: 57.01 mm. Precipitação prevista 1h: 24.24 mm.,57.84,ativo
346,4,4,12,2026-05-13 03:00:00,Alerta Vermelho na área Zona Industrial. Nível máximo de água: 80.09%. Precipitação acumulada 6h: 60.91 mm. Precipitação prevista 1h: 17.31 mm.,58.64,ativo
347,2,1,3,2026-05-13 04:00:00,Alerta Amarelo na área Zona Ribeirinha. Nível máximo de água: 58.27%. Precipitação acumulada 6h: 22.43 mm. Precipitação prevista 1h: 11.76 mm.,35.89,registado
348,3,3,7,2026-05-13 04:00:00,Alerta Laranja na área Centro Urbano. Nível máximo de água: 80.58%. Precipitação acumulada 6h: 58.49 mm. Precipitação prevista 1h: 6.74 mm.,55.49,ativo
349,4,4,10,2026-05-13 04:00:00,Alerta Vermelho na área Zona Industrial. Nível máximo de água: 100.00%. Precipitação acumulada 6h: 106.39 mm. Precipitação prevista 1h: 69.07 mm.,84,ativo
350,4,3,9,2026-05-13 05:00:00,Alerta Vermelho na área Centro Urbano. Nível máximo de água: 85.88%. Precipitação acumulada 6h: 61.47 mm. Precipitação prevista 1h: 9.98 mm.,59.58,ativo
351,4,4,12,2026-05-13 05:00:00,Alerta Vermelho na área Zona Industrial. Nível máximo de água: 84.40%. Precipitação acumulada 6h: 68.57 mm. Precipitação prevista 1h: 4.16 mm.,59.59,ativo
352,3,1,2,2026-05-13 06:00:00,Alerta Laranja na área Zona Ribeirinha. Nível máximo de água: 72.76%. Precipitação acumulada 6h: 44.81 mm. Precipitação prevista 1h: 27.20 mm.,52.99,ativo
353,2,2,6,2026-05-13 06:00:00,Alerta Amarelo na área Passagem Inferior. Nível máximo de água: 55.51%. Precipitação acumulada 6h: 23.14 mm. Precipitação prevista 1h: 13.15 mm.,35.21,registado
354,3,3,7,2026-05-13 06:00:00,Alerta Laranja na área Centro Urbano. Nível máximo de água: 81.34%. Precipitação acumulada 6h: 59.36 mm. Precipitação prevista 1h: 13.59 mm.,57.81,ativo
355,4,4,12,2026-05-13 06:00:00,Alerta Vermelho na área Zona Industrial. Nível máximo de água: 88.10%. Precipitação acumulada 6h: 66.32 mm. Precipitação prevista 1h: 5.72 mm.,60.97,ativo
356,3,1,2,2026-05-13 07:00:00,Alerta Laranja na área Zona Ribeirinha. Nível máximo de água: 76.77%. Precipitação acumulada 6h: 45.51 mm. Precipitação prevista 1h: 2.18 mm.,48.74,ativo
357,2,2,4,2026-05-13 07:00:00,Alerta Amarelo na área Passagem Inferior. Nível máximo de água: 54.97%. Precipitação acumulada 6h: 22.36 mm. Precipitação prevista 1h: 20.26 mm.,36.51,registado
358,2,3,7,2026-05-13 07:00:00,Alerta Amarelo na área Centro Urbano. Nível máximo de água: 67.17%. Precipitação acumulada 6h: 38.09 mm. Precipitação prevista 1h: 4.49 mm.,42.78,registado
359,4,4,11,2026-05-13 07:00:00,Alerta Vermelho na área Zona Industrial. Nível máximo de água: 84.17%. Precipitação acumulada 6h: 67.59 mm. Precipitação prevista 1h: 1.64 mm.,58.56,ativo
360,3,1,3,2026-05-13 08:00:00,Alerta Laranja na área Zona Ribeirinha. Nível máximo de água: 72.42%. Precipitação acumulada 6h: 45.63 mm. Precipitação prevista 1h: 0.00 mm.,46.28,ativo
361,3,3,7,2026-05-13 08:00:00,Alerta Laranja na área Centro Urbano. Nível máximo de água: 64.06%. Precipitação acumulada 6h: 40.71 mm. Precipitação prevista 1h: 10.99 mm.,43.79,ativo
362,4,4,11,2026-05-13 08:00:00,Alerta Vermelho na área Zona Industrial. Nível máximo de água: 87.56%. Precipitação acumulada 6h: 67.92 mm. Precipitação prevista 1h: 15.61 mm.,63.68,ativo
363,3,1,1,2026-05-13 09:00:00,Alerta Laranja na área Zona Ribeirinha. Nível máximo de água: 73.64%. Precipitação acumulada 6h: 42.76 mm. Precipitação prevista 1h: 11.36 mm.,48.81,ativo
364,2,2,4,2026-05-13 09:00:00,Alerta Amarelo na área Passagem Inferior. Nível máximo de água: 61.92%. Precipitação acumulada 6h: 27.09 mm. Precipitação prevista 1h: 15.33 mm.,39.82,registado
365,4,4,10,2026-05-13 09:00:00,Alerta Vermelho na área Zona Industrial. Nível máximo de água: 82.06%. Precipitação acumulada 6h: 69.30 mm. Precipitação prevista 1h: 5.33 mm.,59.05,ativo
366,3,1,2,2026-05-13 10:00:00,Alerta Laranja na área Zona Ribeirinha. Nível máximo de água: 75.60%. Precipitação acumulada 6h: 48.12 mm. Precipitação prevista 1h: 27.33 mm.,55.29,ativo
367,3,3,9,2026-05-13 10:00:00,Alerta Laranja na área Centro Urbano. Nível máximo de água: 63.52%. Precipitação acumulada 6h: 38.70 mm. Precipitação prevista 1h: 14.58 mm.,43.84,ativo
368,2,4,10,2026-05-13 10:00:00,Alerta Amarelo na área Zona Industrial. Nível máximo de água: 52.00%. Precipitação acumulada 6h: 23.39 mm. Precipitação prevista 1h: 14.69 mm.,34.09,registado
369,3,1,1,2026-05-13 11:00:00,Alerta Laranja na área Zona Ribeirinha. Nível máximo de água: 79.66%. Precipitação acumulada 6h: 47.92 mm. Precipitação prevista 1h: 1.76 mm.,50.66,ativo
370,3,2,6,2026-05-13 11:00:00,Alerta Laranja na área Passagem Inferior. Nível máximo de água: 65.75%. Precipitação acumulada 6h: 30.88 mm. Precipitação prevista 1h: 16.52 mm.,42.98,ativo
371,3,3,8,2026-05-13 11:00:00,Alerta Laranja na área Centro Urbano. Nível máximo de água: 59.38%. Precipitação acumulada 6h: 35.83 mm. Precipitação prevista 1h: 16.23 mm.,41.53,ativo
372,3,3,7,2026-05-13 12:00:00,Alerta Laranja na área Centro Urbano. Nível máximo de água: 77.68%. Precipitação acumulada 6h: 59.96 mm. Precipitação prevista 1h: 34.23 mm.,61.5,ativo
373,2,4,10,2026-05-13 12:00:00,Alerta Amarelo na área Zona Industrial. Nível máximo de água: 45.20%. Precipitação acumulada 6h: 26.00 mm. Precipitação prevista 1h: 15.35 mm.,31.98,registado
374,2,1,1,2026-05-13 13:00:00,Alerta Amarelo na área Zona Ribeirinha. Nível máximo de água: 60.69%. Precipitação acumulada 6h: 28.08 mm. Precipitação prevista 1h: 20.03 mm.,40.74,registado
375,3,2,5,2026-05-13 13:00:00,Alerta Laranja na área Passagem Inferior. Nível máximo de água: 79.72%. Precipitação acumulada 6h: 51.91 mm. Precipitação prevista 1h: 37.90 mm.,60.92,ativo
376,3,3,8,2026-05-13 13:00:00,Alerta Laranja na área Centro Urbano. Nível máximo de água: 79.70%. Precipitação acumulada 6h: 58.82 mm. Precipitação prevista 1h: 13.69 mm.,56.93,ativo
377,1,4,11,2026-05-13 13:00:00,Alerta Verde na área Zona Industrial. Nível máximo de água: 49.67%. Precipitação acumulada 6h: 24.67 mm. Precipitação prevista 1h: 0.00 mm.,29.75,registado
378,3,1,1,2026-05-13 14:00:00,Alerta Laranja na área Zona Ribeirinha. Nível máximo de água: 60.16%. Precipitação acumulada 6h: 27.61 mm. Precipitação prevista 1h: 31.91 mm.,43.33,ativo
379,3,2,5,2026-05-13 14:00:00,Alerta Laranja na área Passagem Inferior. Nível máximo de água: 80.77%. Precipitação acumulada 6h: 49.73 mm. Precipitação prevista 1h: 0.00 mm.,51.27,ativo
380,3,3,9,2026-05-13 14:00:00,Alerta Laranja na área Centro Urbano. Nível máximo de água: 75.81%. Precipitação acumulada 6h: 56.28 mm. Precipitação prevista 1h: 0.00 mm.,51,ativo
381,2,1,1,2026-05-13 15:00:00,Alerta Amarelo na área Zona Ribeirinha. Nível máximo de água: 66.28%. Precipitação acumulada 6h: 29.58 mm. Precipitação prevista 1h: 19.70 mm.,43.63,registado
382,3,2,5,2026-05-13 15:00:00,Alerta Laranja na área Passagem Inferior. Nível máximo de água: 71.99%. Precipitação acumulada 6h: 44.65 mm. Precipitação prevista 1h: 16.11 mm.,49.82,ativo
383,3,3,7,2026-05-13 15:00:00,Alerta Laranja na área Centro Urbano. Nível máximo de água: 76.87%. Precipitação acumulada 6h: 55.77 mm. Precipitação prevista 1h: 6.81 mm.,53.03,ativo
384,2,1,2,2026-05-13 16:00:00,Alerta Amarelo na área Zona Ribeirinha. Nível máximo de água: 57.42%. Precipitação acumulada 6h: 24.39 mm. Precipitação prevista 1h: 16.12 mm.,37.19,registado
385,3,2,6,2026-05-13 16:00:00,Alerta Laranja na área Passagem Inferior. Nível máximo de água: 72.10%. Precipitação acumulada 6h: 42.08 mm. Precipitação prevista 1h: 15.07 mm.,48.84,ativo
386,3,3,7,2026-05-13 16:00:00,Alerta Laranja na área Centro Urbano. Nível máximo de água: 67.65%. Precipitação acumulada 6h: 42.19 mm. Precipitação prevista 1h: 6.33 mm.,44.68,ativo
387,3,4,11,2026-05-13 16:00:00,Alerta Laranja na área Zona Industrial. Nível máximo de água: 63.99%. Precipitação acumulada 6h: 45.56 mm. Precipitação prevista 1h: 32.82 mm.,50.67,ativo
388,3,2,6,2026-05-13 17:00:00,Alerta Laranja na área Passagem Inferior. Nível máximo de água: 72.79%. Precipitação acumulada 6h: 40.05 mm. Precipitação prevista 1h: 19.35 mm.,49.61,ativo
389,3,3,7,2026-05-13 17:00:00,Alerta Laranja na área Centro Urbano. Nível máximo de água: 66.85%. Precipitação acumulada 6h: 43.21 mm. Precipitação prevista 1h: 6.48 mm.,44.67,ativo
390,3,4,12,2026-05-13 17:00:00,Alerta Laranja na área Zona Industrial. Nível máximo de água: 63.14%. Precipitação acumulada 6h: 47.28 mm. Precipitação prevista 1h: 0.00 mm.,42.6,ativo
391,2,1,3,2026-05-13 18:00:00,Alerta Amarelo na área Zona Ribeirinha. Nível máximo de água: 66.83%. Precipitação acumulada 6h: 29.77 mm. Precipitação prevista 1h: 15.25 mm.,42.82,registado
392,3,2,6,2026-05-13 18:00:00,Alerta Laranja na área Passagem Inferior. Nível máximo de água: 72.44%. Precipitação acumulada 6h: 41.75 mm. Precipitação prevista 1h: 0.00 mm.,45.12,ativo
393,4,4,10,2026-05-13 18:00:00,Alerta Vermelho na área Zona Industrial. Nível máximo de água: 86.80%. Precipitação acumulada 6h: 75.81 mm. Precipitação prevista 1h: 44.64 mm.,72.96,ativo
394,1,1,3,2026-05-13 19:00:00,Alerta Verde na área Zona Ribeirinha. Nível máximo de água: 67.33%. Precipitação acumulada 6h: 28.90 mm. Precipitação prevista 1h: 3.67 mm.,39.89,registado
395,4,4,11,2026-05-13 19:00:00,Alerta Vermelho na área Zona Industrial. Nível máximo de água: 95.31%. Precipitação acumulada 6h: 76.60 mm. Precipitação prevista 1h: 14.89 mm.,69.59,ativo
396,2,2,4,2026-05-13 20:00:00,Alerta Amarelo na área Passagem Inferior. Nível máximo de água: 49.53%. Precipitação acumulada 6h: 16.98 mm. Precipitação prevista 1h: 15.90 mm.,31.36,registado
397,2,3,7,2026-05-13 20:00:00,Alerta Amarelo na área Centro Urbano. Nível máximo de água: 56.72%. Precipitação acumulada 6h: 23.88 mm. Precipitação prevista 1h: 14.84 mm.,36.4,registado
398,4,4,10,2026-05-13 20:00:00,Alerta Vermelho na área Zona Industrial. Nível máximo de água: 100.00%. Precipitação acumulada 6h: 99.66 mm. Precipitação prevista 1h: 44.55 mm.,80.14,ativo
399,4,4,10,2026-05-13 21:00:00,Alerta Vermelho na área Zona Industrial. Nível máximo de água: 100.00%. Precipitação acumulada 6h: 99.72 mm. Precipitação prevista 1h: 10.15 mm.,71.54,ativo
400,3,1,1,2026-05-13 22:00:00,Alerta Laranja na área Zona Ribeirinha. Nível máximo de água: 59.12%. Precipitação acumulada 6h: 29.39 mm. Precipitação prevista 1h: 29.76 mm.,42.86,ativo
401,4,4,11,2026-05-13 22:00:00,Alerta Vermelho na área Zona Industrial. Nível máximo de água: 95.23%. Precipitação acumulada 6h: 78.26 mm. Precipitação prevista 1h: 15.25 mm.,70.14,ativo
402,2,3,7,2026-05-13 23:00:00,Alerta Amarelo na área Centro Urbano. Nível máximo de água: 44.39%. Precipitação acumulada 6h: 19.86 mm. Precipitação prevista 1h: 15.98 mm.,29.93,registado
403,4,4,12,2026-05-13 23:00:00,Alerta Vermelho na área Zona Industrial. Nível máximo de água: 96.55%. Precipitação acumulada 6h: 73.88 mm. Precipitação prevista 1h: 0.00 mm.,65.61,ativo
404,2,1,2,2026-05-14 00:00:00,Alerta Amarelo na área Zona Ribeirinha. Nível máximo de água: 56.67%. Precipitação acumulada 6h: 23.41 mm. Precipitação prevista 1h: 13.99 mm.,36.02,registado
405,2,3,9,2026-05-14 00:00:00,Alerta Amarelo na área Centro Urbano. Nível máximo de água: 41.90%. Precipitação acumulada 6h: 18.01 mm. Precipitação prevista 1h: 12.68 mm.,27.43,registado
406,3,4,12,2026-05-14 00:00:00,Alerta Laranja na área Zona Industrial. Nível máximo de água: 72.12%. Precipitação acumulada 6h: 44.05 mm. Precipitação prevista 1h: 6.52 mm.,47.3,ativo
407,3,1,2,2026-05-14 01:00:00,Alerta Laranja na área Zona Ribeirinha. Nível máximo de água: 63.28%. Precipitação acumulada 6h: 23.95 mm. Precipitação prevista 1h: 24.88 mm.,41.88,ativo
408,3,2,4,2026-05-14 01:00:00,Alerta Laranja na área Passagem Inferior. Nível máximo de água: 56.46%. Precipitação acumulada 6h: 30.37 mm. Precipitação prevista 1h: 13.20 mm.,37.82,ativo
409,4,4,10,2026-05-14 01:00:00,Alerta Vermelho na área Zona Industrial. Nível máximo de água: 86.44%. Precipitação acumulada 6h: 68.73 mm. Precipitação prevista 1h: 42.00 mm.,70.02,ativo
410,3,2,5,2026-05-14 02:00:00,Alerta Laranja na área Passagem Inferior. Nível máximo de água: 58.53%. Precipitação acumulada 6h: 32.14 mm. Precipitação prevista 1h: 20.15 mm.,41.02,ativo
411,2,3,9,2026-05-14 02:00:00,Alerta Amarelo na área Centro Urbano. Nível máximo de água: 57.94%. Precipitação acumulada 6h: 29.57 mm. Precipitação prevista 1h: 12.45 mm.,38.06,registado
412,3,4,10,2026-05-14 02:00:00,Alerta Laranja na área Zona Industrial. Nível máximo de água: 69.84%. Precipitação acumulada 6h: 44.59 mm. Precipitação prevista 1h: 12.18 mm.,47.85,ativo
413,2,2,4,2026-05-14 03:00:00,Alerta Amarelo na área Passagem Inferior. Nível máximo de água: 65.50%. Precipitação acumulada 6h: 33.95 mm. Precipitação prevista 1h: 2.22 mm.,40.22,registado
414,2,3,7,2026-05-14 03:00:00,Alerta Amarelo na área Centro Urbano. Nível máximo de água: 58.50%. Precipitação acumulada 6h: 28.87 mm. Precipitação prevista 1h: 15.64 mm.,38.9,registado
415,3,4,12,2026-05-14 03:00:00,Alerta Laranja na área Zona Industrial. Nível máximo de água: 64.58%. Precipitação acumulada 6h: 45.27 mm. Precipitação prevista 1h: 7.64 mm.,44.55,ativo
416,2,2,5,2026-05-14 04:00:00,Alerta Amarelo na área Passagem Inferior. Nível máximo de água: 61.49%. Precipitação acumulada 6h: 34.66 mm. Precipitação prevista 1h: 0.00 mm.,38.07,registado
417,3,3,7,2026-05-14 04:00:00,Alerta Laranja na área Centro Urbano. Nível máximo de água: 55.81%. Precipitação acumulada 6h: 30.15 mm. Precipitação prevista 1h: 20.21 mm.,39.21,ativo
418,3,4,12,2026-05-14 04:00:00,Alerta Laranja na área Zona Industrial. Nível máximo de água: 67.96%. Precipitação acumulada 6h: 47.81 mm. Precipitação prevista 1h: 5.09 mm.,46.2,ativo
419,2,2,4,2026-05-14 05:00:00,Alerta Amarelo na área Passagem Inferior. Nível máximo de água: 63.98%. Precipitação acumulada 6h: 32.33 mm. Precipitação prevista 1h: 4.81 mm.,39.69,registado
420,3,4,11,2026-05-14 05:00:00,Alerta Laranja na área Zona Industrial. Nível máximo de água: 65.37%. Precipitação acumulada 6h: 47.68 mm. Precipitação prevista 1h: 18.12 mm.,48.25,ativo
421,2,1,3,2026-05-14 06:00:00,Alerta Amarelo na área Zona Ribeirinha. Nível máximo de água: 59.37%. Precipitação acumulada 6h: 27.91 mm. Precipitação prevista 1h: 12.87 mm.,38.31,registado
422,3,2,4,2026-05-14 06:00:00,Alerta Laranja na área Passagem Inferior. Nível máximo de água: 61.41%. Precipitação acumulada 6h: 31.38 mm. Precipitação prevista 1h: 22.89 mm.,42.77,ativo
423,2,3,7,2026-05-14 06:00:00,Alerta Amarelo na área Centro Urbano. Nível máximo de água: 54.62%. Precipitação acumulada 6h: 29.38 mm. Precipitação prevista 1h: 12.57 mm.,36.54,registado
424,3,4,12,2026-05-14 06:00:00,Alerta Laranja na área Zona Industrial. Nível máximo de água: 66.82%. Precipitação acumulada 6h: 46.27 mm. Precipitação prevista 1h: 0.00 mm.,43.95,ativo
425,2,2,5,2026-05-14 07:00:00,Alerta Amarelo na área Passagem Inferior. Nível máximo de água: 59.88%. Precipitação acumulada 6h: 29.02 mm. Precipitação prevista 1h: 13.50 mm.,39.03,registado
426,3,3,8,2026-05-14 07:00:00,Alerta Laranja na área Centro Urbano. Nível máximo de água: 61.31%. Precipitação acumulada 6h: 31.81 mm. Precipitação prevista 1h: 17.34 mm.,41.47,ativo
427,2,4,12,2026-05-14 08:00:00,Alerta Amarelo na área Zona Industrial. Nível máximo de água: 46.51%. Precipitação acumulada 6h: 20.77 mm. Precipitação prevista 1h: 10.25 mm.,29.72,registado
428,2,1,2,2026-05-14 09:00:00,Alerta Amarelo na área Zona Ribeirinha. Nível máximo de água: 58.31%. Precipitação acumulada 6h: 27.27 mm. Precipitação prevista 1h: 12.03 mm.,37.43,registado
429,3,2,6,2026-05-14 09:00:00,Alerta Laranja na área Passagem Inferior. Nível máximo de água: 58.24%. Precipitação acumulada 6h: 30.03 mm. Precipitação prevista 1h: 23.94 mm.,41.2,ativo
430,3,3,7,2026-05-14 09:00:00,Alerta Laranja na área Centro Urbano. Nível máximo de água: 73.69%. Precipitação acumulada 6h: 56.61 mm. Precipitação prevista 1h: 35.17 mm.,58.94,ativo
431,1,4,10,2026-05-14 09:00:00,Alerta Verde na área Zona Industrial. Nível máximo de água: 45.76%. Precipitação acumulada 6h: 21.85 mm. Precipitação prevista 1h: 0.44 mm.,27.26,registado
